Day,Start,End,Text
Monday,06:00,09:15,Breakfast + get ready for school + school run
Monday,09:15,14:50,Free
Monday,14:50,15:50,School run + get boys settled at home
Monday,15:50,16:50,Free (boys at home)
Monday,16:50,17:20,Drive to Gymnastics
Monday,17:20,18:10,Free (at Gymnastics)
Monday,18:10,18:40,Drive home from gymnastics
Monday,18:40,19:40,Dinner
Monday,19:40,20:00,Get Theo ready for bed + read with him & say goodnight
Monday,20:00,22:00,Free (boys in bed)
Tuesday,06:00,09:15,Breakfast + get ready for school + school run
Tuesday,09:15,16:10,Free
Tuesday,16:10,17:10,Pick Theo up from Yoga + get boys settled at home
Tuesday,17:10,17:50,Free (boys at home)
Tuesday,17:50,18:50,Dinner
Tuesday,18:50,19:10,Get Theo ready for cubs + drop him there
Tuesday,19:10,20:20,Free (with Milo at home)
Tuesday,20:20,21:00,Pick Theo up from cubs + get ready for bed + say goodnight
Tuesday,21:00,22:00,Free (boys in bed)
Wednesday,06:00,09:15,Breakfast + get ready for school + school run
Wednesday,09:15,14:50,Free
Wednesday,14:50,15:50,School run + get boys settled at home
Wednesday,15:50,17:50,Free (boys at home)
Wednesday,17:50,18:50,Dinner
Wednesday,18:50,19:40,Free (boys at home)
Wednesday,19:40,20:00,Get Theo ready for bed + read with him & say goodnight
Wednesday,20:00,22:00,Free (boys in bed)
Thursday,06:00,09:15,Breakfast + get ready for school + school run
Thursday,09:15,14:50,Free
Thursday,14:50,15:50,School run + get boys settled at home
Thursday,15:50,17:50,Free (boys at home)
Thursday,17:50,18:50,Dinner
Thursday,18:50,19:40,Free (boys at home)
Thursday,19:40,20:00,Get Theo ready for bed + read with him & say goodnight
Thursday,20:00,22:00,Free (boys in bed)
Friday,06:00,09:15,Breakfast + get ready for school + school run
Friday,09:15,14:50,Free
Friday,14:50,15:50,School run + get boys settled at home
Friday,15:50,17:50,Free (boys at home)
Friday,17:50,18:50,Dinner
Friday,18:50,19:40,Free (boys at home)
Friday,19:40,20:00,Get Theo ready for bed + read with him & say goodnight
Friday,20:00,22:00,Free (boys in bed)
Saturday,06:00,19:40,Free (boys at home)
Saturday,19:40,20:00,Get Theo ready for bed + read with him & say goodnight
Saturday,20:00,21:00,Get things ready for school next week
Saturday,21:00,22:00,Free (boys in bed)
Sunday,06:00,19:40,Free (boys at home)
Sunday,19:40,20:00,Get Theo ready for bed + read with him & say goodnight
Sunday,20:00,22:00,Free (boys in bed)